name,id
Neil Sullivan,1
Kieran Agard,2
Joseph Whitworth,3
Li Tie,4
Laurent Koscielny,5
Eduardo Vargas,6
John Piercy,7
Nathan Doyle,8
Craig Lynch,9
Manu García,10
Joelinton,11
Michael Johnson,12
Gonzalo Sorondo,13
Danny Guthrie,14
Mateo Fernández,15
Steve Walsh,16
Jefferson Lerma,17
Alf-Inge Håland,18
Rui Patrício,19
Dan Nlundulu,20
Matthew Briggs,21
Ben Doak,22
Alessandro Pistone,23
Didier Digard,24
Park Chu-young,25
Gary Madine,26
Fikayo Tomori,27
Dean Sturridge,28
Odsonne Édouard,29
Papy Djilobodji,30
Sam Clucas,31
Malky Mackay,32
Robert Huth,33
Mark Gower,34
Wes Hoolahan,35
Markus Henriksen,36
Jan Bednarek,37
Diniyar Bilyaletdinov,38
Bobby Convey,39
Ryan Seager,40
John-Kymani Gordon,41
Mark Yeates,42
Neal Maupay,43
Nathan Redmond,44
Lyle Taylor,45
Rudy Gestede,46
Stephen Glass,47
Chris Brunt,48
André Ayew,49
Denis Irwin,50
Fabio Vieira,51
Carl Ikeme,52
Samuel Eto'o,53
Jack Butland,54
Leander Dendoncker,55
Julien De Sart,56
Juan Larios,57
Neto,58
Javier Margas,59
Olivier Bernard,60
Jay Simpson,61
Matt Le Tissier,62
Jerzy Dudek,63
Florin Andone,64
Fábio Aurélio,65
Freddie Ladapo,66
Justin Hoyte,67
Paulo Ferreira,68
Victor Wanyama,69
Leon Best,70
Andrea Dossena,71
Édouard Cissé,72
Miguel Britos,73
Alex Iwobi,74
Steve McManaman,75
Jens Lehmann,76
Alfie Devine,77
Sam Gallagher,78
Joseph McGlynn,79
Kgagelo Chauke,80
Wilfred Ndidi,81
Danny Fox,82
Pedro Neto,83
Christos Tzolis,84
Marlon King,85
Jake Livermore,86
Tony Caig,87
Stephen Dobbie,88
Nathan Delfouneso,89
Joe Gelhardt,90
Krisztián Hegyi,91
David Bentley,92
Jack Stacey,93
Kevin Gallacher,94
Spencer Prior,95
Fabian Wilnis,96
Stuart Holden,97
Arjan de Zeeuw,98
Indiana Vassilev,99
Danny Collins,100
Caçapa,101
Moustapha Salifou,102
Caleb Taylor,103
